ID,YEAR_STA,TARGET,WHERE,REGIOTYP,BUYPOWER,CASATYP,STRTYP,VAL_TIER,FAMGROUP,AGEGROUP,ANTDT,ANZHH,ANZGEW,CAR_DENS,CAR_PERF,PROB_BUS,PROB_AUT,PROB_JEE,TYP1,TYP2,TYP3,TYP4,TYP5,TYP6,TYP7,TYP8,TYP9,PROB_DAILY,PHARM1,PHARM2,PHARM3,PHARM4,PHARM5,PHARM6
"389,155","1,997",0,0,15,3,1,1,5,7,6,2,1,1,7,4,6,5,1,3,1,1,1,7,7,1,1,1,4,1,7,1,6,1,5
"102,389","1,975",0,0,12,1,1,1,5,8,4,3,1,0,9,7,3,6,0,2,2,7,7,1,4,6,6,7,8,1,6,2,7,4,2
"361,340","1,996",0,1,16,-9,1,1,4,6,4,3,1,0,10,1,,8,0,,,,,,,,,,,,,,,,
"35,454","1,989",0,0,12,3,1,4,1,5,6,9,2,0,6,6,3,3,0,1,4,4,1,7,7,6,4,4,6,6,5,3,6,2,4
"24,470","1,993",0,0,16,7,2,1,8,6,4,1,3,0,8,4,6,8,1,7,3,1,7,1,1,1,7,7,1,6,3,2,5,2,6
"381,967","1,997",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"370,886","1,997",0,0,14,2,1,1,1,7,4,9,1,0,10,5,0,6,2,6,5,7,7,3,6,4,7,5,4,3,3,4,7,1,3
"2,457","1,991",0,0,12,7,1,3,2,6,4,8,1,0,5,10,3,2,2,6,6,3,3,6,1,6,5,5,7,6,2,5,2,5,5
"300,555","1,995",0,0,14,2,1,1,2,8,3,7,2,0,7,9,0,3,0,6,7,1,7,1,4,4,7,3,6,1,3,5,7,1,1
"347,388","1,996",0,0,13,2,1,1,7,3,5,7,2,0,3,7,3,6,0,3,4,1,2,3,6,1,1,4,3,5,6,6,3,5,5
"324,220","1,996",0,0,11,7,3,2,5,2,4,7,8,1,1,7,0,7,0,5,2,1,6,1,2,2,1,4,3,2,7,4,6,6,5
"357,226","1,996",0,0,15,5,1,1,8,6,3,1,1,0,1,8,6,9,0,1,7,7,1,1,7,5,1,1,2,5,4,7,4,4,3
"303,559","1,995",0,0,12,6,1,1,5,8,3,6,2,0,7,2,3,6,0,7,1,6,6,4,6,7,7,7,5,3,5,3,5,2,1
"26,969","1,971",0,0,16,1,1,1,1,6,6,7,1,0,10,6,6,3,2,2,6,1,1,4,4,1,3,5,6,1,7,6,1,3,4
"60,902","1,986",0,0,15,4,1,1,2,1,4,8,1,0,10,5,6,3,1,2,2,1,7,3,1,3,4,7,3,6,4,7,5,2,1
"230,966","1,994",0,0,13,6,1,1,2,3,5,8,1,0,7,3,0,8,2,7,5,4,3,7,7,1,6,3,2,7,4,2,6,3,6
"294,523","1,995",0,0,15,3,3,3,9,7,3,1,6,0,10,2,6,9,2,3,3,5,1,7,6,1,1,1,2,4,4,7,5,5,4
"307,935","1,995",0,0,11,3,5,1,9,1,4,1,25,0,2,8,6,8,0,7,3,7,2,7,7,3,4,2,2,1,7,3,4,1,2
"371,232","1,997",0,1,16,-6,1,1,4,4,4,7,1,0,10,3,3,5,1,1,3,4,4,5,5,1,4,2,,3,2,1,2,6,5
"84,555","1,992",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"371,474","1,997",0,0,15,5,4,1,5,2,3,4,11,0,2,3,3,1,0,3,7,1,1,7,6,2,2,1,8,4,1,3,6,2,1
"338,809","1,996",0,1,14,-9,1,1,1,7,5,8,1,0,8,1,,9,1,,,,,,,,,,,,,,,,
"68,255","1,993",0,0,16,2,1,1,4,4,6,9,2,0,4,4,3,3,0,4,1,1,5,1,6,1,1,4,3,1,3,7,5,3,3
"362,760","1,996",0,1,13,-9,3,1,6,3,4,8,9,0,10,4,0,6,3,5,4,5,3,2,1,5,2,4,,2,2,5,1,1,7
"360,822","1,996",0,0,12,8,1,1,6,6,5,1,1,0,7,7,6,2,1,2,6,7,3,5,5,6,5,2,4,7,3,2,1,6,3
"251,916","1,994",0,0,13,6,1,1,1,5,4,9,1,0,9,2,6,2,0,3,1,1,5,5,3,4,4,5,4,5,4,3,2,7,2
"372,041","1,997",0,0,15,1,1,2,7,7,5,2,1,0,6,7,6,8,1,3,4,6,5,2,3,6,2,7,6,3,6,2,7,1,1
"48,478","1,992",0,0,13,6,1,1,5,8,4,9,1,0,10,2,6,1,1,3,7,1,1,1,2,1,1,1,6,7,5,2,3,6,3
"275,648","1,995",0,0,14,8,1,1,3,7,3,7,2,0,5,10,6,5,3,5,1,7,4,6,1,7,3,3,7,6,5,5,6,2,4
"388,679","1,997",0,1,14,-9,1,1,6,5,6,8,2,0,10,1,0,9,3,2,5,2,3,3,1,3,3,4,,6,2,1,5,4,6
"72,384","1,992",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"216,845","1,994",0,0,16,1,1,3,1,4,5,3,1,0,10,6,6,4,3,4,6,2,4,6,4,6,6,5,8,5,5,5,7,7,5
"334,979","1,996",0,0,16,5,1,2,3,9,3,8,2,1,6,4,6,4,0,3,1,4,3,1,2,3,7,7,6,7,5,3,6,1,3
"305,044","1,995",0,0,15,5,2,1,5,4,3,1,5,0,7,9,6,9,2,7,4,3,6,7,6,6,4,2,5,5,3,4,2,4,6
"102,491","1,986",0,0,14,3,2,1,3,4,4,8,3,0,10,4,3,7,0,5,4,6,6,2,4,3,5,3,3,6,6,3,5,1,2
"222,395","1,994",0,0,11,7,3,1,2,2,6,6,6,0,6,5,6,3,1,3,1,7,1,7,4,3,4,4,4,6,6,4,1,4,5
"380,990","1,997",0,0,12,8,3,2,9,6,3,7,7,4,3,7,6,9,0,5,1,6,7,6,1,1,4,6,3,5,6,1,4,7,1
